author,book_count
Louise Erdrich,6
Jane Austen,6
John Grisham,6
Taylor Jenkins Reid,5
Ernest Hemingway,5
Leigh Bardugo,5
Neil Gaiman,5
Salman Rushdie,4
Jon Krakauer,4
Charles Dickens,4
Michael Chabon,4
George Saunders,4
Brené Brown,4
Ta-Nehisi Coates,3
Mariana Enríquez,3
Megan McDowell,3
Richard Powers,3
E.M. Forster,3
James Baldwin,3
Patrick Radden Keefe,3
Andy Weir,3
Yaa Gyasi,3
Joan Didion,3
Colson Whitehead,3
John Steinbeck,3
Gillian Flynn,3
Chimamanda Ngozi Adichie,3
Timothy Egan,3
R.F. Kuang,3
William Styron,3
Bret Easton Ellis,3
Stephenie Meyer,3
Cormac McCarthy,3
David McCullough,3
Siddhartha Mukherjee,3
Sally Rooney,3
Stephen        King,3
Jonathan Franzen,3
Brit Bennett,3
Dave Eggers,3
Elizabeth Strout,3
Lauren Groff,3
Jennifer Egan,3
Jesmyn Ward,3
Anthony Doerr,3
Graham Greene,3
Toni Morrison,3
Amor Towles,3
Kristin Hannah,3
Emily St. John Mandel,3
Kazuo Ishiguro,3
Fyodor Dostoevsky,3
Isabel Allende,3
Jeffrey Toobin,3
John Le Carré,3
David Foster Wallace,3
Jeffrey Eugenides,3
David Sedaris,3
Suzanne Collins,3
Liz    Moore,2
Richard Osman,2
Tommy Orange,2
Charlotte McConaghy,2
Rachel Kushner,2
David Grann,2
Erik Larson,2
Jeff VanderMeer,2
Percival Everett,2
Agatha Christie,2
George R.R. Martin,2
Eleanor Catton,2
William Faulkner,2
Hanya Yanagihara,2
F. Scott Fitzgerald,2
Edith Wharton,2
Maureen Howard,2
Ian McEwan,2
Philip Roth,2
Susan Cain,2
Curtis Sittenfeld,2
Oscar Wilde,2
Nikole Hannah-Jones,2
Maggie O'Farrell,2
Matthew Desmond,2
Matt Haig,2
Kurt Vonnegut Jr.,2
Douglas   Stuart,2
Art Spiegelman,2
Geraldine Brooks,2
Ann Patchett,2
Jonathan Lethem,2
Michael Cunningham,2
Andrew Sean Greer,2
Viet Thanh Nguyen,2
Virginia Woolf,2
Tom Wolfe,2
John Updike,2
Ira Levin,2
Isaac Asimov,2
W. Somerset Maugham,2
Ray Bradbury,2
Daphne du Maurier,2
Ayn Rand,2
Leonard Peikoff,2
Fredrik Backman,2
Dr. Seuss,2
Homer,2
Robert Fagles,2
Bernard Knox,2
Julia Quinn,2
John Irving,2
Margaret Atwood,2
David Halberstam,2
John E. Douglas,2
Mark Olshaker,2
Hilary Mantel,2
Haruki Murakami,2
Philip Gabriel,2
Joseph Frank,2
Thomas  Harris,2
Gabriel García Márquez,2
Alison Weir,2
Robert K. Massie,2
Blake Crouch,2
Richard Dawkins,2
Laurie Frankel,2
Madeline Miller,2
Isabel Wilkerson,2
Leo Tolstoy,2
Aylmer Maude,2
Louise Maude,2
Michael Crichton,2
Paula Hawkins,2
George Orwell,2
Ron Chernow,2
Shirley Jackson,2
Gary Chapman,2
Stieg Larsson,2
Reg Keeland,2
Diana Gabaldon,2
Glennon Doyle,2
Glennon Doyle Melton,2
Donna Tartt,2
Jhumpa Lahiri,2
Alex Michaelides,2
J.K. Rowling,2
Caroline Fraser,1
Sarah Wynn-Williams,1
Yael van der Wouden,1
Jacqueline Harpman,1
Ros Schwartz,1
Sophie Mackintosh,1
Claire Keegan,1
Samantha Harvey,1
Amity Gaige,1
Oliver Stallybrass,1
Pankaj Mishra,1
Agustina Bazterrica,1
Sarah Moses,1
Lydia Millet,1
James Clear,1
Min Jin Lee,1
Joseph J. Ellis,1
Ocean Vuong,1
Truman Capote,1
Helen Macdonald,1
Richard   Preston,1
Sheila Heti,1
Jean Rhys,1
Edwidge Danticat,1
Nana Kwame Adjei-Brenyah,1
Rachel   Harrison,1
Kathryn Sutherland,1
Charles Edmund Brock,1
Anthony Horowitz,1
Carol  Anderson,1
Doug Wheatley,1
Mary Beard,1
John Green,1
Elena Ferrante,1
Ann Goldstein,1
Dan    Brown,1
Norman Ohler,1
Shaun Whiteside,1
Annie Proulx,1
Cat Bohannon,1
Holly  Jackson,1
Jonathan Eig,1
Maggie  Smith,1
Jessica George,1
Jenny Offill,1
Linda Villarosa,1
Hernan Diaz,1
Anna Quindlen,1
Charlotte Brontë,1
Michael Mason,1
Mark Haddon,1
Harper Lee,1
Alice Munro,1
Tom Perrotta,1
Nathaniel Hawthorne,1
Nina Baym,1
